"ROW_ID","BILL_TO_NAME","BILL_TO_ACCOUNT","SITE_NUMBER","BUSINESS_UNIT","TXN_SOURCE","TXN_TYPE","RATE_IS_CORPORATE","REC_ACTIVITY_NAME_BANK","SUBINVENTORY","INTEGRATION_SOURCE","DISTRIBUTION_ACC_ID","REC_ACTIVITY_NAME_CASH","REGION","CUSTOMER_TYPE","COST_CENTER_CODE"
23731742,Tabby Saudi For communication and IT,50011,"132024",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JARIRRD,Vend HQ,,Cash Rounding,SA,TABBY,"0159"
23731741,Hungerstation,45014,"132022",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JARIRRD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0159"
23731740,Mrsool,45015,"132023",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JARIRRD,Vend HQ,,Cash Rounding,SA,MRSOOL,"0159"
23731778,Mrsool,45015,"135005",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WADIDAWSER,Vend HQ,,Cash Rounding,SA,MRSOOL,"0160"
23731777,Nakhla IT Systems (LLC) Tamara,69011,"135007",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WADIDAWSER,Vend HQ,,Cash Rounding,SA,TAMARA,"0160"
23731776,Tabby Saudi For communication and IT,50011,"135006",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WADIDAWSER,Vend HQ,,Cash Rounding,SA,TABBY,"0160"
23731775,Hungerstation,45014,"135004",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WADIDAWSER,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0160"
23731774,WADIDAWSER,153012,"135003",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WADIDAWSER,Vend HQ,,Cash Rounding,SA,NORMAL,"0160"
23731655,HAILZONE,125016,"110013",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAILZONE,Vend HQ,,Cash Rounding,SA,NORMAL,"1203"
23731656,Mrsool,45015,"110015",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAILZONE,Vend HQ,,Cash Rounding,SA,MRSOOL,"1203"
