ORGANIZATION_ID,ORG_NAME,RECEIPT_METHOD_NAME,BANK_ACCOUNT_NAME,BANK_ACCOUNT_NUMBER
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MJMAKRMMAL Account Acc#,AL Jazeerah Bank MJMAKRMMAL
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ABHATIMSQR,157-95017321-ABHATIMSQR
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ABHHIZAMST,AL Jazeerah Bank ABHHIZAMST
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ABHLVNDAPK,157-95017321-ABHLVNDAPK
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank AL DAHRAN MALL,0022555612026
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank AL IHSA MALL,0022555612025
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank AL JUBAIL MALL,0022555612027
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank AL NAKheel PLAZA,0022555612024
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ALAQEQRYD,157-95017321- ALAQEQRYD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ALARIDAH,157-95017321-ALARIDAH
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ALBAHAMAL,157-95017321-ALBAHAMAL
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ALMALGARYD,157-95017321-ALMALGARYD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ALQASRMALL,015795017321-ALQASRMALL
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank AMUAJJ MALL,0022555612007
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ARARMHMDIA,157-95017321-ARARMHMDIA
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ARARWOMNM2 Account Acc#,AL Jazeerah Bank ARARWOMNM2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ARARWOMNMT,AL Jazeerah Bank ARARWOMNMT
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ASEER MALL,0022555612032
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank ASEERGUNAIM,0157-95017321-ASEERGUNAIM
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank AZIZIARYD,157-95017321-AZIZIARYD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Hamra Mall,0022555612035
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Hayat Mall,0022555612006‏
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Ihsaa Mall Account - Acc # 015795017321028,015795017321028
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Manar Mall,0022555612031
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Manar Mall Account - Acc # 015795017321026,015795017321026
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Nakheel Mall,0022555612020
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Noor Mall Account - Acc # 015795017321025,015795017321025
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Al Salam Mall,0022555612037
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Amwaj Mall Account - Acc # 015795017321027,015795017321027
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Andalus Mall Account - Acc # 015795017321007,015795017321007
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Arab Mall,0022555612016
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Arab Mall Account - Acc # 015795017321008,015795017321008
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Ararmalld Account - Acc # 015795017321048,015795017321048
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Aseer Mall Account - Acc # 015795017321031,015795017321031
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Aziz Mall Account - Acc # 015795017321012,015795017321012
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank BAHAAVENUS,015795017321-BAHAAVENUS
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank BURIDHIMAM Account Acc#,AL Jazeerah Bank BURIDHIMAM
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank BUROTHAIM ACC # 015795017321053,015795017321053
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank DAMMOTHAIM ACC # 015795017321054,015795017321054
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank DAMRIVEIRA,015795017321118
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank DAREEN MALL,0022555612029
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank DMMMARINA,0157-95017321-DMMMARINA
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank DWADMIMKAN,015795017321-DWADMIMKAN
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank DWDMMKANML Account Acc#,AL Jazeerah Bank DWDMMKANML
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Dahran Mall Account - Acc # 015795017321039,015795017321039
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Dana Mall Account - Acc # 015795017321040,015795017321040
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Dareen Mall Account - Acc # 015795017321034,015795017321034
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank EHSALBUSTAN,157-95017321-EHSALBUSTAN
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank EHSAOTHAIM,015795017321-EHSAOTHAIM
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank EXBSA RYD Account - Acc #,AL Jazeerah Bank EXBSA RYD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank EXBSA02 Jed Account - Acc # 015795017321044,015795017321044
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank EXBSA03 Account - Acc #,AL Jazeerah Bank EXBSA03
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank EXBSA04 Account - Acc #,AL Jazeerah Bank EXBSA04
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Flamingo Mall Account - Acc # 015795017321014,015795017321014
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank GALRYRYD2,0157-95017321-GALRYRYD2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Gernada Mall Account - Acc # 015795017321024,015795017321024
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank HAFRBATIN ACC # 015795017321055,015795017321055
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank HAMDANYA2,157-95017321-HAMDANYA2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank HILTONMAK2,157-95017321- HILTONMAK2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank HILTONMAK3,015795017321-HILTONMAK3
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank HIRAAJED,015795017321-HIRAAJED
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Haifa Mall Account - Acc # 015795017321013,015795017321013
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Hamraa Mall Account - Acc # 015795017321018,015795017321018
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Hayat Mall Account - Acc # 015795017321016,015795017321016
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JARIRRD,015795017321-JARIRRD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDANDLUS2,157-95017321-JEDANDLUS2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDCORNCH1,157-95017321-JEDCORNCH1
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDDAHPARK,015795017321-JEDDAHPARK
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDJOHRAML Account Acc#,AL Jazeerah Bank JEDJOHRAML
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDKHUMRAH,AL Jazeerah Bank JEDKHUMRAH
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDKNGAZIZ,AL Jazeerah Bank JEDKNGAZIZ
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDMNDARIN,0157-95017321-JEDMNDARIN
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDMNRHPLZ,AL Jazeerah Bank JEDMNRHPLZ
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDMRWACTR,0157-95017321-JEDMRWACTR
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDMUSADIA,015795017321-JEDMUSADIA
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDNRTHWLK,157-95017321-JEDNRTHWLK
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDNUJOD,015795017321-JEDNUJOD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDPALMWAK Account Acc#,AL Jazeerah Bank JEDPALMWAK
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDQURAISH,0157-95017321-JEDQURAISH
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDSULTNST,AL Jazeerah Bank JEDSULTNST
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JEDWAHBLVD,0157-95017321-JEDWAHBLVD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JORI MALL,0022555612017
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JUBAILMAL2,015795017321-JUBAILMAL2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank JURSHIKHIR Account Acc#,AL Jazeerah Bank JURSHIKHIR
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Jory Mall Account - Acc # 015795017321035,015795017321035
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Jubail Mall Account - Acc # 015795017321030,015795017321030
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KADI MALL,0022555612028
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHAFOTHAIM ACC # 015795017321058,015795017321058
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHAMESBLD,157-95017321-KHAMESBLD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHAMISKKHD,157-95017321-KHAMISKKHD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHAMSBLVRD,015795017321-KHAMSBLVRD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHJTHEZONE,AL Jazeerah Bank KHJTHEZONE
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHMISMUJAN Account Acc#,AL Jazeerah Bank KHMISMUJAN
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHMSAVENUE,AL Jazeerah Bank KHMSAVENUE
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHMSBNDWOD,0157-95017321-KHMSBNDWOD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHOBRRASHD,0157-95017321-KHOBRRASHD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHOQOSAIBI,157-95017321-KHOQOSAIBI
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHRJHEDITY,157-95017321-KHRJHEDITY
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank KHRJUNFIED Account Acc#,AL Jazeerah Bank KHRJUNFIED
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Kadi Mall Account - Acc # 015795017321036,015795017321036
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Khris Mall,0022555612019
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank Khuris Mall Account - Acc # 015795017321019,015795017321019
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank LELEMALL,0157-95017321-LELEMALL
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAJARDAH,0157-95017321-MAJARDAH
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKABRAJ1,157-95017321-MAKABRAJ1
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKADANPLZ,015795017321-MAKADANPLZ
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKAHMALL2,015795017321-MAKAHMALL2
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKAHMEJAZ,157-95017321-MAKAHMEJAZ
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKDARTWHD,AL Jazeerah Bank MAKDARTWHD#
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKDNACNTR,157-95017321-MAKDNACNTR
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKDYAFAML,015795017321-MAKDYAFAML
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKHIJZMLL,015795017321-MAKHIJZMLL
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKMYANYRD,157-95017321-MAKMYANYRD
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKSHOUQ,157-95017321-MAKSHOUQ
300000001421038,AlQurashi-KSA,AMEX,AL Jazeerah Bank MAKTOWER Account - Acc #,AL Jazeerah Bank MAKTOWER
