REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
382,223,WADILABAN,CashWADILABAN,3E+14,AL Jazeerah Bank WADILABAN ACC # 015795017321049,3E+14,,,SA,,
383,224,RASHIDABHA,CashRASHIDABHA,3E+14,AL Jazeerah Bank RASHIDABHA ACC # 015795017321050,3E+14,,,SA,,
384,225,RASHIDJZN,CashRASHIDJZN,3E+14,AL Jazeerah Bank RASHIDJZN ACC # 015795017321051,3E+14,,,SA,,
385,226,RASHIDMAD,CashRASHIDMAD,3E+14,AL Jazeerah Bank RASHIDMAD ACC # 015795017321052,3E+14,,,SA,,
642,447,KWTMGHATER,Cash KWTMGHATER,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
417,294,TAIFSHARST,Cash TAIFSHARST,3E+14,AL Jazeerah Bank TAIFSHARST,3E+14,,,SA,,
418,295,KHMSAVENUE,Cash KHMSAVENUE,3E+14,AL Jazeerah Bank KHMSAVENUE,3E+14,,,SA,,
419,296,JEDNRTHWLK,Cash JEDNRTHWLK,3E+14,AL Jazeerah Bank JEDNRTHWLK,3E+14,,,SA,,
424,299,MEDDARIMAN,Cash MEDDARIMAN,3E+14,AL Jazeerah Bank MEDDARIMAN,3E+14,,,SA,,
425,297,NAJMELAGRO,Cash NAJMELAGRO,3E+14,AL Jazeerah Bank NAJMELAGRO,3E+14,,,SA,,
426,276,QUNKYLPLZA,Cash QUNKYLPLZA,3E+14,AL Jazeerah Bank QUNKYLPLZA,3E+14,,,SA,,
427,300,MEDMVNPICK,Cash MEDMVNPICK,3E+14,AL Jazeerah Bank MEDMVNPICK,3E+14,,,SA,,
428,298,RYDANUDPRK,Cash RYDANUDPRK,3E+14,AL Jazeerah Bank RYDANUDPRK,3E+14,,,SA,,
429,280,KHAMESBLD,Cash KHAMESBLD,3E+14,AL Jazeerah Bank KHAMESBLD,3E+14,,,SA,,
433,275,KHRJHEDITY,Cash KHRJHEDITY,3E+14,AL Jazeerah Bank KHRJHEDITY,3E+14,,,SA,,
434,281,MEDSULTANA,Cash MEDSULTANA,3E+14,AL Jazeerah Bank MEDSULTANA,3E+14,,,SA,,
435,278,JEDCORNCH1,Cash JEDCORNCH1,3E+14,AL Jazeerah Bank JEDCORNCH1,3E+14,,,SA,,
436,277,ALBAHAMAL,Cash ALBAHAMAL,3E+14,AL Jazeerah Bank ALBAHAMAL,3E+14,,,SA,,
534,396,JARIRRD,Cash JARIRRD,3E+14,AL Jazeerah Bank JARIRRD,3E+14,,,SA,,
535,397,SALAMRYD2,Cash SALAMRYD2,3E+14,AL Jazeerah Bank SALAMRYD2,3E+14,,,SA,,
587,423,HILTONMAK3,Cash HILTONMAK3,3E+14,AL Jazeerah Bank HILTONMAK3,3E+14,,,SA,,
589,424,MEDALIYAT,Cash MEDALIYAT,3E+14,AL Jazeerah Bank MEDALIYAT,3E+14,,,SA,,
590,425,JUBGLRIMAL,,,,,,,SA,,
443,309,RYDALYAPLZ,Cash RYDALYAPLZ,3E+14,AL Jazeerah Bank RYDALYAPLZ,3E+14,,,SA,,
444,310,MAKABRAJ1,Cash MAKABRAJ1,3E+14,AL Jazeerah Bank MAKABRAJ1,3E+14,,,SA,,
445,282,MEDTHEGATE,Cash MEDTHEGATE,3E+14,AL Jazeerah Bank MEDTHEGATE,3E+14,,,SA,,
446,312,ABHLVNDAPK,Cash ABHLVNDAPK,3E+14,AL Jazeerah Bank ABHLVNDAPK,3E+14,,,SA,,
447,313,MAKMYANYRD,Cash MAKMYANYRD,3E+14,AL Jazeerah Bank MAKMYANYRD,3E+14,,,SA,,
448,314,MEDALHIJRA,Cash MEDALHIJRA,3E+14,AL Jazeerah Bank MEDALHIJRA,3E+14,,,SA,,
593,426,NJRANFRONT,Cash NJRANFRONT,3E+14,AL Jazeerah Bank NJRANFRONT,3E+14,,,SA,,
450,315,MAKDNACNTR,Cash MAKDNACNTR,3E+14,AL Jazeerah Bank MAKDNACNTR,3E+14,,,SA,,
416,293,JAHARKWT,Cash Account JAHARKWT,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
451,316,MCTAVENUES,Cash MCTAVENUES,3E+14,Oman Arab Bank Account- ACC # 3106-573999-500,3E+14,,,OM,,
454,319,MCTLLUNZWA,Cash MCTLLUNZWA,3E+14,Oman Arab Bank Account- ACC # 3106-573999-500,3E+14,,,OM,,
