Order,Method,Amount,Fixed,Variable,Expected_Charge
MAKKAH/112720,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/112701,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/112692,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/112691,TAMARA,249.0,1.5,10.582500000000001,12.08
MAKKAH/112659,TABBY,222.0,1.0,11.100000000000001,12.1
MAKKAH/112622,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/112598,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/112597,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/112583,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/112521,TAMARA,463.0,1.5,19.677500000000002,21.18
MAKKAH/112518,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/112516,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/112514,TAMARA,105.0,1.5,4.4625,5.96
MAKKAH/112488,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/112484,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/112479,TABBY,222.0,1.0,11.100000000000001,12.1
MAKKAH/112465,TABBY,222.0,1.0,11.100000000000001,12.1
MAKKAH/112464,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/112463,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/112410,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/112406,TABBY,775.0,1.0,38.75,39.75
MAKKAH/112375,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/112351,TABBY,99.0,1.0,4.95,5.95
MAKKAH/112297,TAMARA,160.0,1.5,6.800000000000001,8.3
MAKKAH/112274,TAMARA,228.0,1.5,9.690000000000001,11.19
MAKKAH/112238,TABBY,180.0,1.0,9.0,10.0
MAKKAH/112087,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/112083,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/112078,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/112052,TAMARA,604.0,1.5,25.67,27.17
MAKKAH/112049,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/111917,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/111891,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/111852,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/111851,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/111595,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/111574,TABBY,99.0,1.0,4.95,5.95
MAKKAH/111573,TAMARA,198.0,1.5,8.415000000000001,9.92
MAKKAH/111562,TAMARA,198.0,1.5,8.415000000000001,9.92
MAKKAH/111511,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/111502,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/111486,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/111484,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/111397,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/111331,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/111313,TAMARA,249.0,1.5,10.582500000000001,12.08
MAKKAH/111243,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/111169,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/111152,TAMARA,85.0,1.5,3.6125000000000003,5.11
MAKKAH/111144,TAMARA,180.0,1.5,7.65,9.15
MAKKAH/111121,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/111116,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/111111,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/111102,TABBY,226.0,1.0,11.3,12.3
MAKKAH/110902,TAMARA,249.0,1.5,10.582500000000001,12.08
MAKKAH/110901,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/110862,TAMARA,170.0,1.5,7.2250000000000005,8.73
MAKKAH/110762,TAMARA,170.0,1.5,7.2250000000000005,8.73
MAKKAH/110733,TABBY,126.0,1.0,6.300000000000001,7.3
MAKKAH/110730,TABBY,319.0,1.0,15.950000000000001,16.95
MAKKAH/110729,TABBY,319.0,1.0,15.950000000000001,16.95
MAKKAH/110720,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/110694,TABBY,160.0,1.0,8.0,9.0
MAKKAH/110687,TAMARA,360.0,1.5,15.3,16.8
MAKKAH/110618,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/110617,TAMARA,222.0,1.5,9.435,10.94
MAKKAH/110558,TABBY,499.0,1.0,24.950000000000003,25.95
MAKKAH/110535,TAMARA,180.0,1.5,7.65,9.15
MAKKAH/110534,TABBY,249.0,1.0,12.450000000000001,13.45
MAKKAH/110533,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/110516,TAMARA,174.0,1.5,7.3950000000000005,8.89
MAKKAH/110508,TAMARA,337.0,1.5,14.322500000000002,15.82
MAKKAH/110499,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/110476,TABBY,249.0,1.0,12.450000000000001,13.45
MAKKAH/110457,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/110327,TAMARA,99.0,1.5,4.2075000000000005,5.71
MAKKAH/110290,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/110244,TABBY,222.0,1.0,11.100000000000001,12.1
MAKKAH/110172,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/110171,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/110113,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/110076,TABBY,222.0,1.0,11.100000000000001,12.1
MAKKAH/109850,TABBY,290.0,1.0,14.5,15.5
MAKKAH/109835,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/109799,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/109770,TAMARA,340.0,1.5,14.450000000000001,15.95
MAKKAH/109724,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/109627,TAMARA,249.0,1.5,10.582500000000001,12.08
MAKKAH/109625,TAMARA,598.0,1.5,25.415000000000003,26.92
MAKKAH/109595,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/109576,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/109575,TABBY,2192.0,1.0,109.60000000000001,110.6
MAKKAH/109555,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/109551,TAMARA,150.0,1.5,6.375000000000001,7.88
MAKKAH/109526,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/109516,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/109479,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/109477,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/109469,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/109342,TAMARA,398.0,1.5,16.915000000000003,18.42
MAKKAH/109341,TAMARA,697.0,1.5,29.622500000000002,31.12
MAKKAH/109334,TAMARA,160.0,1.5,6.800000000000001,8.3
MAKKAH/109276,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/109241,TAMARA,116.0,1.5,4.930000000000001,6.43
MAKKAH/109234,TABBY,298.0,1.0,14.9,15.9
MAKKAH/109231,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/109230,TAMARA,552.0,1.5,23.46,24.96
MAKKAH/109217,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/109212,TAMARA,300.0,1.5,12.750000000000002,14.25
