Order Ref,Date,Branch,Payment Method,Original Amount,Charge Rate,Total Charge,Net Receipt
MAKKAH/112720,2026-03-31 22:27:59,MAKKAH,TAMARA,199,0.30%,0.6865499999999999,198.31345
MAKKAH/112701,2026-03-31 20:05:16,MAKKAH,TABBY,499,0.50%,2.86925,496.13075
MAKKAH/112692,2026-03-31 19:16:47,MAKKAH,TAMARA,199,0.30%,0.6865499999999999,198.31345
MAKKAH/112691,2026-03-31 19:08:17,MAKKAH,TAMARA,249,0.30%,0.85905,248.14095
MAKKAH/112659,2026-03-30 22:06:23,MAKKAH,TABBY,222,0.50%,1.2765,220.7235
MAKKAH/112622,2026-03-30 18:43:33,MAKKAH,TABBY,499,0.50%,2.86925,496.13075
MAKKAH/112598,2026-03-30 15:19:05,MAKKAH,TAMARA,299,0.30%,1.03155,297.96845
MAKKAH/112597,2026-03-30 15:11:16,MAKKAH,TAMARA,399,0.30%,1.37655,397.62345
MAKKAH/112583,2026-03-30 11:39:55,MAKKAH,TAMARA,199,0.30%,0.6865499999999999,198.31345
MAKKAH/112521,2026-03-29 14:04:28,MAKKAH,TAMARA,463,0.30%,1.5973499999999998,461.40265
